Project_Name,Project_URL,Project_Hash,Test_filename,Test_classname,Test_funcname,Test_parametrization,Passed_sameOrder,Failed_sameOrder,Error_sameOrder,Skipped_sameOrder,#Runs_sameOrder,Passed_randomOrder,Failed_randomOrder,Error_randomOrder,Skipped_randomOrder,#Runs_randomOrder,Verdict_sameOrder,Verdict_randomOrder,Flaky_randomOrder_withinIteration,Flaky_sameOrder_withinIteration,Order-dependent,Flaky_Infrastructure
3DNIRmapper,https://github.com/fechbmaster/3DNIRmapper,f061c1b8db3fd36a9c344608287cdcb8b2968633,tests/test_mapper.py,tests.test_mapper.TestMapper,test_clean_duplicates,,140,20,0,0,160.0,80,40,0,0,120.0,Flaky,Flaky,False,False,False,True
3DNIRmapper,https://github.com/fechbmaster/3DNIRmapper,f061c1b8db3fd36a9c344608287cdcb8b2968633,tests/test_mapper.py,tests.test_mapper.TestMapper,test_get_best_texture_for_id,,140,20,0,0,160.0,80,40,0,0,120.0,Flaky,Flaky,False,False,False,True
3DNIRmapper,https://github.com/fechbmaster/3DNIRmapper,f061c1b8db3fd36a9c344608287cdcb8b2968633,tests/test_mapper.py,tests.test_mapper.TestMapper,test_set_duplicates_for_textures,,140,20,0,0,160.0,80,40,0,0,120.0,Flaky,Flaky,False,False,False,True
3DNIRmapper,https://github.com/fechbmaster/3DNIRmapper,f061c1b8db3fd36a9c344608287cdcb8b2968633,tests/test_mapper.py,tests.test_mapper.TestMapper,test_visibility_analysis,,140,20,0,0,160.0,80,40,0,0,120.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_atom.py,tests.test_atom,test_errors_are_passed_to_ATOM,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_atom.py,tests.test_atom,test_errors_are_updated,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_basemodel.py,tests.test_basemodel,test_all_base_estimators,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_basemodel.py,tests.test_basemodel,test_all_callbacks,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_basemodel.py,tests.test_basemodel,test_callbacks_class,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_basemodel.py,tests.test_basemodel,test_callbacks_sequence,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_basemodel.py,tests.test_basemodel,test_custom_dimensions,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_basemodel.py,tests.test_basemodel,test_early_stopping,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_basemodel.py,tests.test_basemodel,test_estimator_kwargs,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_basemodel.py,tests.test_basemodel,test_n_calls_lower_n_random_starts,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_basemodel.py,tests.test_basemodel,test_n_random_starts_lower_1,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_basemodel.py,tests.test_basemodel,test_plot_bo,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_basemodel.py,tests.test_basemodel,test_verbose_is_1,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_basetrainer.py,tests.test_basetrainer,test_error_handling,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_basetrainer.py,tests.test_basetrainer,test_sequence_parameters,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_feature_engineering.py,tests.test_feature_engineering,test_RFECV_strategy_before_pipeline_classification,,68,73,0,0,141.0,80,60,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_feature_engineering.py,tests.test_feature_engineering,test_kwargs_parameter_scoring,,68,73,0,0,141.0,80,60,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_models.py,tests.test_models,test_models_binary,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_models.py,tests.test_models,test_models_multiclass,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_models.py,tests.test_models,test_models_regression,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
ATOM,https://github.com/tvdboom/ATOM,8d536a54f92d446f849c964401284bce51c99d5a,tests/test_plots.py,tests.test_plots,test_plot_bo,,73,68,0,0,141.0,60,80,0,0,140.0,Flaky,Flaky,False,False,False,True
BT-Tracker,https://github.com/nordwind80/BT-Tracker,558c15b399871c1ca11d0c4ae1eb598e3060931e,Tracker/tests/test_event.py,Tracker.tests.test_event.TestEvent,test_object,,0,180,0,0,180.0,95,85,0,0,180.0,Failed,Flaky,True,False,True,False
BeautifulSauce,https://github.com/nateraw/BeautifulSauce,f587e638abea1716427713d8a814e30331efb18b,tests/test_sauce.py,tests.test_sauce.TestSauce,test_from_url,,128,52,0,0,180.0,143,17,0,0,160.0,Flaky,Flaky,True,True,False,False
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_command_context.py,tests.test_command_context,test_manual_context_noccr,,200,0,0,0,200.0,11,89,0,0,100.0,Passed,Flaky,True,False,True,False
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py,tests.test_loading,test_loading,,200,0,0,0,200.0,35,65,0,0,100.0,Passed,Flaky,True,False,True,False
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py,tests.test_loading,test_loading_failure,,200,0,0,0,200.0,60,40,0,0,100.0,Passed,Flaky,True,False,True,False
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py,tests.test_loading,test_reloading,,200,0,0,0,200.0,30,70,0,0,100.0,Passed,Flaky,True,False,True,False
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py,tests.test_merger,test_context_commands,,200,0,0,0,200.0,15,85,0,0,100.0,Passed,Flaky,True,False,True,False
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py,tests.test_merger,test_core_commands,,200,0,0,0,200.0,75,25,0,0,100.0,Passed,Flaky,True,False,True,False
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py,tests.test_merger,test_grammar_numbers,,200,0,0,0,200.0,1,99,0,0,100.0,Passed,Flaky,True,False,True,False
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py,tests.test_merger,test_invalid,,200,0,0,0,200.0,25,75,0,0,100.0,Passed,Flaky,True,False,True,False
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py,tests.test_merger,test_noccr_commands,,200,0,0,0,200.0,18,82,0,0,100.0,Passed,Flaky,True,False,True,False
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_top_level.py,tests.test_top_level,test_recognition,,200,0,0,0,200.0,1,99,0,0,100.0,Passed,Flaky,True,False,True,False
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_top_level.py,tests.test_top_level,test_top_level_command_failure,,200,0,0,0,200.0,6,94,0,0,100.0,Passed,Flaky,True,False,True,False
Butter.MAS.PythonAPI,https://github.com/bennymeg/Butter.MAS.PythonAPI,f86ebe75df3826f62a268645cdbe4400b43fab07,butter/mas/tests/clients/client_test.py,butter.mas.tests.api_test.TestUdpClientApiMethods,testMoveMotorInDirection,,160,0,0,0,160.0,140,1,0,0,141.0,Passed,Flaky,True,False,True,False
Butter.MAS.PythonAPI,https://github.com/bennymeg/Butter.MAS.PythonAPI,f86ebe75df3826f62a268645cdbe4400b43fab07,butter/mas/tests/clients/client_test.py,butter.mas.tests.clients.client_http_test.TestHttpClientApiMethods,testGetAvailableAnimations,,160,0,0,0,160.0,133,8,0,0,141.0,Passed,Flaky,True,False,True,False
Butter.MAS.PythonAPI,https://github.com/bennymeg/Butter.MAS.PythonAPI,f86ebe75df3826f62a268645cdbe4400b43fab07,butter/mas/tests/clients/client_test.py,butter.mas.tests.clients.client_http_test.TestHttpClientApiMethods,testGetAvailableHandlers,,160,0,0,0,160.0,130,11,0,0,141.0,Passed,Flaky,True,False,True,False
Butter.MAS.PythonAPI,https://github.com/bennymeg/Butter.MAS.PythonAPI,f86ebe75df3826f62a268645cdbe4400b43fab07,butter/mas/tests/clients/client_test.py,butter.mas.tests.clients.client_http_test.TestHttpClientApiMethods,testGetAvailableMotorRegisters,,160,0,0,0,160.0,134,7,0,0,141.0,Passed,Flaky,True,False,True,False
