PROJECT_NAME,PROJECT_URL,PROJECT_HASH,FUNCS_TO_TRACE,TESTS_TO_BE_RUN,NUM_RUNS
3DNIRmapper,https://github.com/fechbmaster/3DNIRmapper,f061c1b,,tests/test_mapper.py::TestMapper::test_clean_duplicates,1
3DNIRmapper,https://github.com/fechbmaster/3DNIRmapper,f061c1b,,tests/test_mapper.py::TestMapper::test_get_best_texture_for_id,1
3DNIRmapper,https://github.com/fechbmaster/3DNIRmapper,f061c1b,,tests/test_mapper.py::TestMapper::test_set_duplicates_for_textures,1
3DNIRmapper,https://github.com/fechbmaster/3DNIRmapper,f061c1b,,tests/test_mapper.py::TestMapper::test_visibility_analysis,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_atom.py::test_errors_are_passed_to_ATOM,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_atom.py::test_errors_are_updated,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_basemodel.py::test_all_base_estimators,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_basemodel.py::test_all_callbacks,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_basemodel.py::test_callbacks_class,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_basemodel.py::test_callbacks_sequence,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_basemodel.py::test_custom_dimensions,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_basemodel.py::test_early_stopping,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_basemodel.py::test_estimator_kwargs,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_basemodel.py::test_n_calls_lower_n_random_starts,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_basemodel.py::test_n_random_starts_lower_1,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_basemodel.py::test_plot_bo,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_basemodel.py::test_verbose_is_1,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_basetrainer.py::test_error_handling,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_basetrainer.py::test_sequence_parameters,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_feature_engineering.py::test_RFECV_strategy_before_pipeline_classification,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_feature_engineering.py::test_kwargs_parameter_scoring,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_models.py::test_models_binary,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_models.py::test_models_multiclass,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_models.py::test_models_regression,1
ATOM,https://github.com/tvdboom/ATOM,8d536a5,,tests/test_plots.py::test_plot_bo,1
BT-Tracker,https://github.com/nordwind80/BT-Tracker,558c15b,,Tracker/tests/test_event.py::TestEvent::test_object,1
BeautifulSauce,https://github.com/nateraw/BeautifulSauce,f587e63,,tests/test_sauce.py::TestSauce::test_from_url,1
Breathe,https://github.com/mrob95/Breathe,4600818,,tests/test_command_context.py::test_manual_context_noccr,1
Breathe,https://github.com/mrob95/Breathe,4600818,,tests/test_loading.py::test_loading,1
Breathe,https://github.com/mrob95/Breathe,4600818,,tests/test_loading.py::test_loading_failure,1
Breathe,https://github.com/mrob95/Breathe,4600818,,tests/test_loading.py::test_reloading,1
