PID,Detected,N/A,Submitted,Accepted,Rejected,Inspected
M1,1,0,0,0,0,1
M2,1,0,1,0,0,1
M3,1,0,1,0,0,1
M4,2,0,0,0,0,2
M5,1,0,1,1,0,1
M6,1,0,1,0,0,1
M7,1,0,0,0,0,1
M8,1,0,0,0,0,1
M9,1,0,1,0,0,1
M10,1,0,1,0,0,1
M11,1,0,1,1,0,1
M12,2,0,1,0,0,1
M13,2,0,2,0,0,2
M14,3,0,2,0,0,2
M15,1,1,0,0,0,1
M16,3,0,3,0,0,3
M17,1,0,1,0,0,1
M18,2,0,0,0,0,1
M19,1,0,1,0,0,1
M20,1,0,1,0,0,1
M21,1,0,1,0,0,1
M22,1,0,1,1,0,1
M23,1,0,0,0,0,1
M24,1,0,1,0,0,1
M25,1,0,0,0,0,1
M26,1,0,1,1,0,1
M27,6,0,1,0,0,2
M28,1,0,0,0,0,1
M29,1,0,1,0,0,1
M30,1,0,1,1,0,1
M31,1,0,1,0,0,1
M32,1,0,1,0,0,1
M33,1,0,1,0,0,1
M34,2,0,2,1,0,2
M35,1,0,0,0,0,1
M36,1,0,1,1,0,1
M37,1,0,0,0,0,1
M38,1,0,0,0,0,1
M39,1,0,0,0,0,1
M40,2,1,0,0,0,1
M41,1,0,0,0,0,1
M42,1,0,0,0,0,1
M43,2,2,0,0,0,2
M44,1,0,0,0,0,1
M45,1,0,0,0,0,1
M46,1,0,1,0,0,1
M47,2,2,0,0,0,2
M48,1,0,0,0,0,1
M49,2,0,0,0,0,2
M50,1,0,1,0,1,1
M51,4,0,1,0,0,1
M52,4,0,1,0,0,2
M53,1,0,1,1,0,1
M54,1,0,1,0,0,1
M55,2,0,1,1,0,1
M56,1,1,0,0,0,1
M57,1,0,0,0,0,1
M58,1,0,0,0,0,1
M59,2,0,1,0,0,1
M60,1,0,1,0,0,1
M61,1,0,0,0,0,1
M62,3,0,1,1,0,1
M63,1,0,0,0,0,1
M64,1,0,1,0,0,1
M65,1,0,1,1,0,1
M66,1,0,0,0,0,1
M67,1,0,1,0,0,1
M68,1,1,0,0,0,1
M69,1,0,1,0,0,1
M70,1,0,1,0,0,1
M71,3,0,0,0,0,1
M72,1,0,1,1,0,1
M73,1,0,0,0,0,1
M74,3,3,0,0,0,3
M75,4,0,2,0,0,2
M76,1,0,1,1,0,1
M77,2,0,1,0,0,1
M78,1,0,0,0,0,1
M79,2,2,0,0,0,2
M80,1,0,1,1,0,1
M81,1,0,1,0,0,1
M82,3,0,2,1,0,2
M83,4,0,2,0,0,2
M84,1,0,1,1,0,1
M85,5,0,1,1,0,1
M86,2,2,0,0,0,2
M87,1,0,1,0,0,1
M88,2,2,0,0,0,2
M89,1,0,1,1,0,1
M90,1,0,0,0,0,1
Total,138,17,61,18,1,109
