url,sha,name,#tests,#tests_run_twice,#tests_run_twice_count_put_as_one,#tests_run_once,#tests_run_once_count_put_as_one,#ni,#ni_count_put_as_one
git@github.com:0xHJK/music-dl,883b643d62c63496572f5b883f76359324a5c853,music-dl,12,12,12,0,0,0,0
git@github.com:1313e/CMasher,fccda3b76ac93e089f34be572b984b7718076756,CMasher,110,66,31,44,44,0,0
git@github.com:1313e/mpi4pyd,bd5fa6ae3daaa95a8bf508a77242c9376014bc73,mpi4pyd,47,35,35,12,12,0,0
git@github.com:AGTGreg/runium,ba89015859976d3426d25a53af5fa4d8827c7483,runium,40,40,40,0,0,0,0
git@github.com:AKuederle/flask-template-master,d6d8d2747eccc6629658caf4295106db1b3326a1,flask-template-master,13,13,13,0,0,0,0
git@github.com:ARMmbed/mbed-cli,8c0256e0ce96707cbd703ec7bed25f2af0df331b,mbed-cli,40,40,10,0,0,0,0
git@github.com:AdventielFr/ecs-crd-cli.git,7b296c64086a204d3540da272e3d8dd74721c6c4,ecs-crd-cli.git,60,60,60,0,0,0,0
git@github.com:AguaClara/aguaclara,9ee3d1d007bc984b73b19520d48954b6d81feecc,aguaclara,404,195,11,209,209,1,1
git@github.com:AguaClara/aguaclara_design,9ee3d1d007bc984b73b19520d48954b6d81feecc,aguaclara_design,404,195,11,209,209,1,1
git@github.com:AlJohri/gsmls,04f9ce71f572686f785266a766f8a3dfd42cf152,gsmls,1,1,1,0,0,0,0
git@github.com:Alexei-Kornienko/schematics_to_swagger,d9c1c9e43a25c5a4ff60701b3bf22fc039c815c2,schematics_to_swagger,7,7,7,0,0,0,0
git@github.com:AndrewRPorter/wiki-futures,ae6bec3aafa7c2b881b2653eae1eb528f9b63bc7,wiki-futures,6,6,6,0,0,0,0
git@github.com:AppliedAcousticsChalmers/levitate,f6b2b2666e82bbff0ef5664aa687bb87876467cb,levitate,768,768,61,0,0,0,0
git@github.com:Arlus/mpesa-py,2844ac9c1dea57507808b0d65f3e134238adc5bb,mpesa-py,8,0,0,8,8,0,0
git@github.com:AshtonUPS/Py-MI-PS,2d22327c75bac1b58a4804a61e7a703ecc5ba978,Py-MI-PS,74,2,2,72,72,1,1
git@github.com:AuraiProject/freesia,16834c17725edac74eb50fc5ce2ff1db6f3f4840,freesia,14,0,0,14,14,0,0
git@github.com:Axonius/axonius_api_client,ad0b09496fb218ab9169b1a348cd39967d626100,axonius_api_client,1,0,0,1,1,0,0
git@github.com:BMeu/EasyJWT,49e888f5441b72c88ddf659c32b4f3096063f0e5,EasyJWT,89,0,0,89,89,0,0
git@github.com:Backblaze/b2-sdk-python,1984e90256ff7c4233d25e2485493057f9364dd6,b2-sdk-python,640,1,1,639,639,0,0
git@github.com:BastiTee/pype,b0dd086ed180e17b22c6e7b23a730af35ae0d0eb,pype,38,38,38,0,0,1,1
git@github.com:BbsonLin/flask-request-logger,26b87d56cf1dffb3f8d6a2ca8c2b1873b9d6a65e,flask-request-logger,6,6,6,0,0,1,1
git@github.com:BorePlusPlus/whippet,596667d234c5007540106b1b67fc2daeff87da60,whippet,21,21,19,0,0,0,0
git@github.com:BradenM/pydngconverter,2cb8e3dcd962e3c4089001ab50c07f804aa7fa5a,pydngconverter,7,7,7,0,0,0,0
git@github.com:Burnysc2/python-sc2,78d2ebe5c87aa9abc1e8a505f095ccd5e9dec358,python-sc2,165,165,29,0,0,70,2
git@github.com:CD3/pyAssignment,f2e837d624bfde41724da38e30f0fc9422fb355c,pyAssignment,63,63,63,0,0,0,0
git@github.com:CIMAC-CIDC/schemas,c2b011f49361e01a2816076b9436ae46d71ba0db,schemas,328,328,109,0,0,0,0
git@github.com:COMBAT-TB/tbvcfreport,f0f932667581433089e02b49e1aaee1bb4984502,tbvcfreport,2,0,0,2,2,0,0
git@github.com:Celeo/Prest,7c94bf0b7dabecad0bd8b66229b2906dabdb8e79,EVEPrest,13,13,13,0,0,0,0
git@github.com:CellProfiler/centrosome,878a4ef7c3d39dcab893ed27838c9338c5721c5b,centrosome,14,0,0,14,14,0,0
git@github.com:Chenyao2333/poker,49c0b791ac7caf86f946f06f5ff929120b3eb324,poker,18,1,1,17,17,0,0
git@github.com:ChrisCummins/emu,3fa30e7a0d56b4f05deaebc05df64a22d708a63c,emu,13,13,13,0,0,0,0
git@github.com:CitrineInformatics/citrine-python,8fec512d0261ab7a5a94f5354022519a1dd81146,citrine-python,20,0,0,20,20,0,0
git@github.com:Cloudzero/samwise,3aa79ba20f3a151be3fd691bd5f6f5f250d16334,samwise,12,11,9,1,1,0,0
git@github.com:Cognexa/plcx,2756c0ba78c4c9e572d95ba002708957bc55d4fa,plcx,83,83,20,0,0,0,0
git@github.com:ConSou/devtracker,ea892d6d48aa5d4627b429469b59ae3f0ce7f10f,devtracker,19,19,19,0,0,2,2
git@github.com:ContinuumIO/intake-avro,6b190edc24af86118ae930a13f955d9411810143,intake-avro,3,3,3,0,0,0,0
git@github.com:Cornices/cornice.ext.swagger,17a63e86751c7d8f1b2b75d49056161c80f4cef2,cornice.ext.swagger,105,0,0,105,105,0,0
git@github.com:Craven-Biostat-Lab/mihifepe,7f03e4413d1e42e9265d790cb64c41f34dbea5ab,mihifepe,1,0,0,1,1,0,0
git@github.com:CrystalPea/pytest-easyread,ca2de6b516a8d56052200f18ce4ad46d96ecf7c6,pytest-easyread,9,9,9,0,0,0,0
git@github.com:CtheSky/namecom,16ad4a60a0d4b6d1fea2eed57674d5b020e272cf,namecom,34,0,0,34,34,0,0
git@github.com:CyberZHG/keras-bert,e9ccba8ed56b52102bfd08fd231bf9b79d7e0e3e,keras-bert,13,0,0,13,13,0,0
git@github.com:CyberZHG/keras-layer-normalization,12262dc34333f27b6b809a643b1906c9ed2d5cd9,keras-layer-normalization,1,0,0,1,1,0,0
git@github.com:CyberZHG/keras-pos-embd,7f9d179d361a094272ba87eaae7cdeb935b35c72,keras-pos-embd,2,0,0,2,2,0,0
git@github.com:CyberZHG/keras-trans-mask,7d5420b2ac15ffba73ab4add7a17f1eb635a473c,keras-trans-mask,1,0,0,1,1,0,0
git@github.com:CyberZHG/keras-transformer,d84a50fd1986a7b343d2db024b60bfe5f3dc276b,keras-transformer,7,0,0,7,7,0,0
git@github.com:CyberZHG/keras-transformer-xl,72c0072a71384a360c72522dec21f37293d1ba84,keras-transformer-xl,6,0,0,6,6,0,0
git@github.com:CyberZHG/mxnet-octave-conv,5bbe5aa0cc6f43f242cb4a656495df70e3198f1b,mxnet-octave-conv,3,0,0,3,3,0,0
git@github.com:CyberZHG/torch-embed-sim,ace404f9cca0d47aa3efcf4e819bcd48899e4e35,torch-embed-sim,1,0,0,1,1,0,0
git@github.com:CyberZHG/torch-gpt-2,92dd7ab7f83630500805ebf0c647f3fb940ca3ab,torch-gpt-2,3,0,0,3,3,0,0
git@github.com:CyberZHG/torch-layer-normalization,89f405b60f53f85da6f03fe685c190ef394ce50c,torch-layer-normalization,5,0,0,5,5,0,0
git@github.com:Cymmetria/honeycomb,33ea91b5cf675000e4e85dd02efe580ea6e95c86,honeycomb,34,34,34,0,0,0,0
git@github.com:DanielSank/observed,d99fb99ff2a470a86efb2763685e8e2c021e799f,observed,5,5,5,0,0,1,1
git@github.com:DenisCarriere/geocoder,39b9999ec70e61da9fa52fe9fe82a261ad70fa8b,geocoder,105,105,105,0,0,0,0
git@github.com:DevKeh/redisqueue,feac4dfc30837e0ab1a55a8479443ea74b2793f2,redisqueue,5,5,5,0,0,2,2
git@github.com:Diaoul/subliminal,a4113adb745dc5cd2da7254ee14802077237bb15,subliminal,1,0,0,1,1,0,0
git@github.com:DobromirM/Predictive-Hyperparameter-Optimisation,b34bfae356a75f12e4dc8a6615568fdbd28943cb,Predictive-Hyperparameter-Optimisation,2,0,0,2,2,0,0
git@github.com:Domain-Connect/domainconnect_python,b2b3b2d4e279b596c7870f1bad9d168bf55cf3e9,domainconnect_python,10,0,0,10,10,0,0
git@github.com:DusanMadar/PySyncDroid,9a217a54f4286af8e7505c184eb2a6775f52d815,PySyncDroid,63,0,0,63,63,0,0
git@github.com:ECSHackWeek/impedance.py,d1019c161be9e967ae227117b72acae4351e198f,impedance.py,28,28,28,0,0,0,0
git@github.com:EPAENERGYSTAR/epathermostat,ff32be0c1e751806f644ce8ff31fcbac05ccfde8,epathermostat,1,0,0,1,1,0,0
git@github.com:ElementAI/greensim,f160e8b57d69f6ef469f2e991cc07b7721e08a91,greensim,114,114,114,0,0,0,0
git@github.com:ElliotVilhelm/python-domain-validation,941a6ae29c565f49e98f106b427624874b47f973,domain-validation,7,7,7,0,0,0,0
git@github.com:Ensembl/ols-client,1ec1524449cf35b6c17cf4be7071b6fde539521b,ols-client,21,0,0,21,21,0,0
git@github.com:Erik-White/ColonyScanalyser,38034b7d62a7c4f72a9f6981d0218c23f22cc7c8,ColonyScanalyser,459,459,187,0,0,0,0
git@github.com:Fabio-CS/alertlogicAPI,8c5176ea611479aeb5475d6fd98f2a3688a7a631,alertlogicAPI,159,15,15,144,144,0,0
git@github.com:FoteinosMerg/pymerkle,5318009e04b2ae44e194b8435ef181aa67ab8b9a,pymerkle,15692,15692,176,0,0,1,1
git@github.com:GClunies/noaa_coops,81dc986313bf89466760892dd7fe2653d9b49dda,noaa_coops,2,1,1,1,1,0,0
git@github.com:GClunies/py_noaa,adad099a41ce21c81b62843530c50137b7fe59e9,py_noaa,2,1,1,1,1,0,0
git@github.com:Galbar/norfs,5cb9458d8eb5bf4af14603307946646350746a8f,norfs,148,0,0,148,148,0,0
git@github.com:Galbar/singlepy,fa001b8cb815a68ecd3e790a1f8a5ac5ce045daa,singlepy,6,0,0,6,6,0,0
git@github.com:Geosyntec/wqio,8fcd57cc8b8365208eeee0162438307db0ca0dbb,wqio,686,686,343,0,0,1,1
git@github.com:GreenBuildingRegistry/yaml-config,558022920cb148dd413d1bd2854756c055d62044,yaml-config,22,0,0,22,22,0,0
git@github.com:Gsllchb/DotDot,89a6f7a86866de9c348f7e91da57c359c94568db,DotDot,4,4,4,0,0,0,0
git@github.com:HarryShomer/Hockey-Scraper,a829e0a0fe4bf548109863031ea9987abc0219a0,hockey-scraper,42,42,42,0,0,0,0
git@github.com:JBielan/py_ev,0a2d48235b8ff2268254c151a179a2ece40cbd37,py_ev,16,16,16,0,0,0,0
git@github.com:JakubTesarek/colltools,e50f98ccda33ab409fcdba277a39f071824e24c7,colltools,17,17,17,0,0,0,0
git@github.com:JavierLuna/git-groomer,64a54e7db3adc1153b200b870f4bea4606504ebc,git-groomer,56,56,52,0,0,0,0
git@github.com:Jhengsh/tidyframe,aa4f8a35cb4abe4d883eb59b6ef6a920580b611f,tidyframe,5,0,0,5,5,0,0
git@github.com:JoMingyu/google-play-scraper,24f715446dedea01461ef71244795973ce673f38,google-play-scraper,19,0,0,19,19,0,0
git@github.com:JonathanVusich/litedb,2694bc39676d8398f669c0aed96aef89623dbc9a,litedb,76,68,68,8,8,0,0
git@github.com:JonathanVusich/pcpartpicker,19b505d90b2e76d747fd8b5be4d7a979da3cc365,pcpartpicker,46,0,0,46,46,0,0
git@github.com:KeithSSmith/switcheo-python,d9bb29ee48b756d469046b7871bd7f627577dc93,switcheo,6,0,0,6,6,0,0
